Category,Term,Genes,adj_pval
UP_KEYWORDS,Phosphoprotein,"PI4K2B, STMN2, TESK1, HNRNPU, ENO1, MYLK, GLS, DPYSL2, CREB3L2, WDR91, AKT3, CMKLR1, CSNK2A2, PASK, HCFC1, CLDN4, CLDN3, DAAM1, EWSR1, MAP1B, TXNIP, HPD, ASF1A, ATF4, SKAP2, SLBP, CDCA3, ABCB7, CTBP1, SAR1B, HSPA4L, PHYHIPL, CDCA8, IQGAP3, MTMR7, HMGXB4, HMOX1, S100A11, CEP78, HEXIM1, PLK4, APOOL, FUCA1, RAB3IP, FUCA2, UPF3B, NR1D1, FHDC1, PRDX6, FERMT1, HNRNPM, SLC6A7, TBL2, SLC6A9, PSMG1, EZH2, PIGR, ITK, TRIOBP, ZNF280D, ING5, SHE, SMPD4, CHAF1A, IMPA1, TRIM3, NUF2, TK1, JAK2, CEP55, IKBIP, LYPLA2, SERPINB1, GSTO1, ANXA5, TMC6, FOS, GNL1, DDB2, VAMP8, ITPKC, MMP14, MMP13, OPN1MW, VAMP5, VAMP2, PLPPR3, PELI2, SDAD1, BTAF1, RHO, SPP2, RPL13, CENPT, YTHDF1, MBD1, TTC9B, SRP68, TUBB4B, PLXDC2, WDR13, DEF6, TARBP2, CENPE, CENPF, PSMC5, PKN2, NCAPD2, NOTUM, PLCD1, FRK, CCNT2, CCNT1, IRS1, NAB1, SYAP1, SLA, APEH, YY1, PPP1CB, SALL1, CFL2, SESN1, TOM1, NEK2, KMT5A, PHLDA2, MB21D2, LZTS2, KPNA2, HMGN3, GYG1, KPNA1, SH3GLB1, MAP2K4, BNIP3L, IGFBP5, KCNH7, UBE2E3, LEMD3, CDC25A, SLC9A3, ILF3, CACNB4, STIM1, FSCN1, FKBP4, SNRPC, SNRPA, PVALB, FKBP5, COL17A1, CSF1R, DLX2, KHDRBS3, CALCRL, CUL5, ILDR1, HMMR, CORO1B, SAV1, UBR5, NACC1, PGK1, PLXNA2, SLC38A2, BCL2L14, CD276, AKIRIN2, CHTOP, OSBPL6, SDF2L1, ODF2, TNK2, ESRRG, GGCT, DRAP1, PTPRE, MAP3K15, NACA, COPS2, CDK2, SERINC1, NF2, MAP3K14, EIF4G2, COPS9, EIF4G1, ITGB1, DAGLA, ITGB5, NUMA1, CDCA7L, MCM9, ETFA, SYNE2, SCRN2, PSD3, PPP6R3, EFHD2, DNMT3B, DTX3L, SGIP1, MSL2, APOA1, AHSA1, EDF1, FOXL2, ARFGAP3, TRAF4, ESPL1, LCK, SMARCD2, NLGN2, SMARCD3, NUFIP2, VPS4B, TTK, MLLT1, PPM1K, CKMT2, DNAJB1, CDC45, U2AF2, RBBP8, TNNI1, VPS54, TNNI2, FYN, E2F4, HNRNPA1, EIF4E, JAZF1, HNRNPA0, E2F8, SMARCE1, SLC12A3, NOP58, PPP1R14B, NAGA, KLF3, HNRNPAB, KLF2, SNRK, DNAJA2, CD247, TPT1, PFKP, EIF3B, ZMYND8, ECI2, ZDHHC5, ANTXR1, SOX2, CDC20, RASSF1, C10ORF71, FTH1, RCC1, ARFIP2, PIEZO1, FBXO5, CCNL1, AGFG1, TMPO, CPT1A, LIMCH1, SLC6A13, KRT8, SLC6A11, KNL1, KRT5, SHTN1, NEIL3, KATNAL1, MIP, MXRA8, ULK2, SIK2, KIF20A, KCTD15, TMEM87A, LPAR1, PIK3R3, TWF1, PIK3R1, SYNGR2, STC2, ZNF704, TP53BP2, ATP6V0A2, MAP6, DECR2, SNX8, SCAI, STAT5A, IQSEC2, SLC35E1, INTS3, SMARCA5, BSDC1, RASSF8, PARP14, BRI3BP, SMARCA4, MANF, TPX2, TMCC1, RCOR2, ITM2C, HBS1L, SLC44A2, CCDC124, GDI2, KIF15, SYNCRIP, AKAP11, UBXN4, RAB8B, RALGPS2, FCER1G, NCOA5, TFEB, PPRC1, SYN2, KIF9, MDFIC, PACS2, HNRNPH1, VWA1, FAM193B, KIF2C, MAPT, MAPRE1, NAPB, TRAK1, RAD54B, ARNTL, RBM15B, PGRMC2, NFIL3, HEATR6, MAP4K5, EXOSC1, MPP1, RANBP3, SLC31A2, SORT1, TMEM176B, TTC1, PER1, KRT18, KRT17, KRT14, TCEA1, KBTBD7, TJP3, GALNT11, PHRF1, PVR, NUSAP1, KNTC1, GEN1, PUS3, RUNDC3A, ALDH3A2, DCTD, MYCN, SELENOS, DKC1, TBL1XR1, SPNS1, CMPK1, ZCCHC8, VCP, DDX5, CALCA, SLC1A2, SLC41A1, CACNA1F, RTN4, HCAR2, GRK1, DNAJC21, UBC, CLSPN, TBC1D17, TBC1D15, IVNS1ABP, CBX6, SMAD4, HSPA5, ALYREF, NR4A1, KIF18A, TRPV6, UBE2S, TMEM238, KIF4A, NABP2, RSRP1, AMOTL1, FGF13, NFKBIE, SAE1, RNF103-CHMP3, GSK3B, SOWAHB, TAT, ATP2A2, CHD4, YBX1, CHTF18, PITPNC1, LMNB2, LMNB1, UFL1, BCL7A, PPP2R5E, MYO18B, CASP1, TOPBP1, YWHAG, KDM6B, ABCC4, KLF13, ARHGEF16, ARID1A, MASTL, GPCPD1, VCAN, CREB1, IRF1, AKT1S1, CRY2, CRY1, MYH9, BLVRB, FBP1, CHMP5, LAMA1, ANKS3, RBM4B, ASAP1, ATP1A1, DLL1, FAM168B, MAPK8, ERBB3, MAT2A, MARVELD2, SNCG, STOM, ZNF185, TAF15, KDF1, LIMK1, IRGC, MAPK14, SUOX, SHCBP1, SPATA2L, KANSL1, TEF, ACKR4, PDE7A, CCDC174, OTUD3",2.34E-19
UP_KEYWORDS,Acetylation,"ZMYND8, ECI2, HNRNPU, PPP2R2A, ENO1, ACTB, MYLK, GLS, SMC2, CDC20, RASSF1, PSMD7, FTH1, AKT3, RAVER2, MLYCD, TMPO, CPT1A, CSNK2A2, KRT8, PASK, ATG12, HCFC1, SHTN1, KATNAL1, EWSR1, MAP1B, SIK2, KIF20A, HPD, MMADHC, PFN2, ABCB7, HSPA4L, MGST1, TWF1, PIK3R1, HACD2, SKA1, GNG10, SYNGR2, ASL, DECR2, S100A11, INTS3, SMARCA5, NR1D1, PRDX6, BRI3BP, SMARCA4, HNRNPM, MSRA, TPX2, PSMG1, CALR, TMCC1, HBS1L, GDI1, GDI2, KIF15, SYNCRIP, ING5, ACTR1B, NUF2, TRIM3, TK1, CTSB, SERPINB1, NCOA5, GSTO1, ANXA5, VAMP8, HNRNPH1, IVD, EXOC3, KIF2C, MAPT, MAPRE1, VAMP2, NAPB, CSTB, DTYMK, PAPSS1, ARNTL, RHO, RPL13, MPP1, YTHDF1, RANBP3, SRP68, UBE2G2, TUBB4B, WDR13, RAB11A, DEF6, CENPF, PSMC5, KRT18, OCM, TCEA1, PKN2, GOLT1B, CCNT1, APEH, PPP1CB, CFL2, NUSAP1, CAPN2, TOM1, KMT5A, KPNA2, GYG1, KPNA1, PUS3, SH3GLB1, MAP2K4, HGD, UBE2E3, LEMD3, SDHB, ILF3, DKC1, TBL1XR1, CMPK1, SPNS1, FSCN1, ANKRD40, FKBP4, SNRPC, PVALB, SNRPA, DAP3, FKBP5, ZCCHC8, DDX5, VCP, FECH, MRI1, ACAT2, RTN4, UBR5, PGK1, CLSPN, PRODH, TBC1D15, UBE2F, TIA1, CHTOP, SMAD4, OSBPL6, HELT, HSPA5, ALYREF, ESRRG, NR4A1, NACA, UBE2S, CDK2, SAE1, EIF4G2, EIF4G1, ITGB1, MIPEP, NUMA1, TAT, ETFA, CHD4, YBX1, SYNE2, LMNB2, CKS1B, LMNB1, RPS4X, UFL1, UBE2Q1, PPP2R5E, EFHD2, WDR5, YWHAG, EIF5A, DTX3L, ARHGEF16, AHSA1, EDF1, ARID1A, SYNGR3, MASTL, IRF1, MYH9, SLC25A5, FBP1, ALDH9A1, SMARCD3, VPS4B, RAP1GDS1, TTK, MLLT1, ATP1A1, FAM168B, MAT2A, U2AF2, RBBP8, TNNI1, TNNI2, C3ORF33, E2F4, HNRNPA1, SEC23B, EIF4E, CYTH1, HNRNPA0, PPP1R14B, TAF15, MAPK14, HNRNPAB, SHCBP1, ACTC1, XPNPEP1, KANSL1, DNAJA2, PFKP, EIF3B",2.33E-11
GOTERM_MF_DIRECT,GO:0005515~protein binding,"FRMPD2, STMN2, TESK1, HNRNPU, TMEM97, ENO1, SMC2, MYLK, GLS, ALKBH3, PSMD7, DPYSL2, AKT3, MS4A12, CMKLR1, CSNK2A2, GTPBP2, PASK, ATG12, HCFC1, RBP7, DAAM1, EWSR1, MAP1B, PLEKHS1, CDIP1, TXNIP, ASF1A, ATF4, SKAP2, SLBP, CDCA3, CTBP1, HHLA2, PDGFB, CDCA8, OAZ1, HACD2, GABARAP, SKA1, MTMR7, RDH12, HMOX1, S100A11, HEXIM1, PLK4, FZD3, APOOL, COL24A1, RAB3IP, FUCA2, UPF3B, NR1D1, NR0B2, PRDX6, HNRNPM, AGO1, FAT1, PPT1, PSMG1, EZH2, ITK, SNX10, LITAF, ING5, SHE, C1QTNF1, CHAF1A, IMPA1, TRIM3, NUF2, TIMP2, TK1, JAK2, CEP55, IKBIP, GPR37, MYOC, GSTO1, ELOVL2, TESC, ANXA5, ELOVL6, TMC6, ELOVL7, FOS, TACR1, DDB2, VAMP8, MMP14, EXOC3, VAMP5, MDFI, VAMP2, ARF6, CRB1, RPL10, PELI2, SLC7A1, UCP2, RHO, RPL13, CENPT, HSPA1L, MBD1, PCGF3, NR1H3, SRP68, PLXDC2, DEF6, TARBP2, SPSB3, CENPE, CENPF, PSMC5, CENPI, PKN2, NCAPD2, FRK, CCNT2, CCNT1, IRS1, ZBTB26, SYAP1, SLA, APEH, YY1, PPP1CB, SALL1, CFL2, SESN1, SCMH1, TOM1, NEK2, KMT5A, LZTS2, KPNA2, GYG1, KPNA1, SH3GLB1, MAP2K4, MYLIP, BNIP3L, IGFBP5, UBE2E3, VASH1, LEMD3, OLFM4, FBXO11, PGF, CDC25A, SLC9A3, ILF3, STIM1, FSCN1, ANKRD40, FKBP4, SNRPC, SNRPA, FKBP5, COL17A1, SEMA7A, DLX2, KHDRBS3, CALCRL, FECH, CUL5, LIN7A, HMMR, ACAT2, CORO1B, SAV1, ADAP2, UBR5, PGK1, PLXNA2, ANKRD10, SLC38A2, BCL2L14, CD276, AKIRIN2, CHTOP, TIA1, OSBPL6, ODF2, TNK2, ESRRG, FOXN4, HOPX, DRAP1, CDK8, PTPRE, COPS2, CDK2, SERINC1, TUBGCP4, NF2, RNF185, MAP3K14, RSL24D1, NFE2L1, EIF4G2, COPS9, EIF4G1, ITGB1, MOXD1, ITGB5, NUMA1, CDCA7L, ETFA, SYNE2, SCRN2, PPP6R3, DNMT3B, WDR5, EIF5A, DTX3L, SGIP1, APOA1, AHSA1, EDF1, FOXL2, ARFGAP3, TRAF4, ESPL1, LCK, CRH, SLC25A5, SMPDL3A, SMARCD2, NUFIP2, VPS4B, TYRP1, TTK, MLLT1, PPM1K, DNAJB1, NFS1, CDC45, U2AF2, RBBP8, TNNI1, VPS54, TNNI2, FYN, E2F4, HNRNPA1, SEC23B, EIF4E, E2F8, SMARCE1, SLC12A3, NOP58, KLF3, HNRNPAB, KLF2, TRIM39, CTH, DNAJA2, CD247, TPT1, EIF3B, TRAF3IP2, ZMYND8, PRF1, KEAP1, PPP2R2A, IFI35, IFI30, ANTXR1, ACTB, SOX2, CDC20, RASSF1, FTH1, DHX58, RCC1, ARFIP2, FBXO5, PTGDS, CCNL1, FBXO7, AGFG1, ARRDC1, PAQR5, ARRDC3, KRT8, KNL1, KRT5, SHTN1, TWSG1, KATNAL1, ULK2, SIK2, KIF20A, NBL1, KCTD15, MMADHC, PFN2, STXBP2, MGST1, LPAR1, PIK3R3, CD99L2, PIK3R1, GNG10, SYNGR2, TP53BP2, ATP6V0A2, MAP6, ST8SIA5, APOD, ASL, SNX8, SCAI, STAT5A, EGR1, EGR2, PPP1R27, INTS3, INTS2, SMARCA5, SMARCA4, TPX2, CALR, FBXL5, ITM2B, ITM2C, ACY3, GDI1, CTSZ, GDI2, KIF15, GNGT1, SYNCRIP, ACTR1B, CTSL, NMRK2, CTSK, RAC3, UBXN4, CTSB, RAB8B, CD53, FCER1G, NCOA5, STRBP, KIF9, MDFIC, HNRNPH1, VWA2, KIF2C, MAPT, MAPRE1, ATP6V0C, NAPB, MIS12, TRAK1, RAD54B, ARNTL, RBM15B, PGRMC2, NFIL3, FAM184A, MAP4K5, EXOSC1, MPZL2, MPP1, RANBP3, SORT1, TTC1, UBE2G2, RAB11A, KRT18, KRT17, KRT14, TCEA1, KBTBD7, NEUROG1, TJP3, FCGBP, SPPL2A, PVR, NUSAP1, CAPN2, KNTC1, POSTN, HGD, ATP1B2, SDHB, RUNDC3A, DCTD, MYCN, SHQ1, SELENOS, LOX, DKC1, TBL1XR1, SPNS1, DPEP1, ISCU, ABCG2, DAP3, ZCCHC8, PMEL, VCP, DDX5, CALCA, SLC1A2, LPL, RTN4, RPF1, DNAJC21, UBC, CLSPN, TBC1D17, TBC1D15, UBE2F, BHLHA9, CBX6, SMAD4, HSPA5, ALYREF, NR4A1, KIF18A, EFNA3, FGF14, TRPV6, KIF4A, NABP2, RSRP1, GNB3, AMOTL1, FGF13, NFKBIE, SAE1, GSK3B, ATP2A2, CHD4, YBX1, CHTF18, PITPNC1, CKS1B, LMNB1, RPS4X, SEC61A1, UFL1, UBE2Q1, BCL7A, PPP2R5E, CA4, CASP1, TOPBP1, YWHAG, KDM6B, KLF13, ARHGEF16, ARID1A, KLF15, TGFBR3, VCAN, CREB1, IRF1, AKT1S1, CRY2, CRY1, IRF8, MYH9, SPOPL, FBP1, CHMP5, LAMA1, ANKS3, RAP1GDS1, RBM4B, ASAP1, ATP1A1, DLL1, THBS4, AGPAT4, GNA14, MAPK8, ERBB3, MAT2A, MARVELD2, MARVELD3, SNCG, STOM, CYTH1, TAF15, LIMK1, MAPK14, SOD3, SHCBP1, KANSL1, TEF, ACKR4, FAM98A",2.27E-09
UP_KEYWORDS,Cytoplasm,"PI4K2B, FRMPD2, STMN2, KEAP1, HNRNPU, ENO1, ACTB, MYLK, GLS, SMC2, ALKBH3, CDC20, RASSF1, DPYSL2, ANPEP, AKT3, DHX58, RAVER2, RCC1, FBXO5, MLYCD, PTGDS, FBXO7, TMPO, ARRDC3, KRT8, PASK, ATG12, HCFC1, RBP7, SHTN1, KATNAL1, DAAM1, EWSR1, MAP1B, TXNIP, SIK2, KIF20A, TRIB2, MMADHC, PFN2, SKAP2, ATF4, SLBP, CDCA3, CTBP1, HSPA4L, TWF1, CDCA8, GABARAP, SKA1, MTMR7, TP53BP2, MAP6, S100A11, SCAI, CEP78, STAT5A, HEXIM1, PLK4, EGR1, IQSEC2, RAB3IP, UPF3B, NR1D1, PARP14, NR0B2, PRDX6, FERMT1, MSRA, TPX2, AGO1, FAT1, PSMG1, CALR, FBXL5, ITK, ACY3, GDI1, GDI2, CCDC124, BICDL1, SNX10, TRIOBP, KIF15, SYNCRIP, ACTR1B, AKAP11, IMPA1, TRIM3, RAC3, TK1, JAK2, CEP55, RALGPS2, LYPLA2, SERPINB1, GSTO1, STRBP, TESC, TFEB, FOS, ITPKC, KIF9, MMP14, MDFIC, COL21A1, KIF2C, FAM193B, MAPT, MAPRE1, MDFI, ARF6, CSTB, TRAK1, ARNTL, APOL6, MAP4K5, EXOSC1, LMLN, EVC2, YTHDF1, RANBP3, COLCA2, SRP68, TUBB4B, TARBP2, DEF6, SLC8A3, CENPE, PER1, CENPF, PSMC5, KRT18, KRT17, KRT14, NCAPD2, PKN2, FRK, MSRB1, CCNT2, SLA, APEH, PPP1CB, CFL2, SESN1, NUSAP1, CAPN2, TOM1, KNTC1, NEK2, PHLDA2, KPNA2, LZTS2, KPNA1, SH3GLB1, MAP2K4, MYLIP, UBE2E3, ILF3, SHQ1, SELENOS, STIM1, DKC1, CMPK1, FSCN1, FKBP4, ISCU, FKBP5, VCP, HTRA1, ILDR1, MRI1, HMMR, CPLX1, ACAT2, CORO1B, SAV1, ADAP2, DNAJC21, UBC, NACC1, PGK1, BCL2L14, TBC1D15, BHLHA9, IVNS1ABP, SMAD4, OSBPL6, HSPA5, ODF2, ALYREF, KLHL24, HOPX, NR4A1, PTPRE, KIF18A, ATG16L2, NACA, KIF4A, COPS2, CDK2, TUBGCP4, NF2, NFKBIE, FGF13, MAP3K14, RNF103-CHMP3, GSK3B, NUMA1, CDCA7L, CHD4, YBX1, PITPNC1, SYNE2, RPS4X, UFL1, UBE2Q1, PPP2R5E, MYO18B, PPP6R3, CASP1, TOPBP1, YWHAG, EIF5A, PLA2G4F, TRIM62, DTX3L, ARHGEF16, AHSA1, EDF1, ARFGAP3, MASTL, GPCPD1, PTP4A1, TRAF4, ESPL1, LCK, IRF1, AKT1S1, CRY2, CRY1, MYH9, BLVRB, ALDH9A1, CHMP5, NUFIP2, ASAP1, DNAJB1, FAM168B, NFS1, MAPK8, CDC45, SNCG, STOM, FYN, HNRNPA1, EIF4E, CYTH1, PPP1R14B, ZNF185, TAF15, KDF1, LIMK1, MAPK14, HNRNPAB, SHCBP1, ACTC1, SBK1, TRIM39, XPNPEP1, CTH, PDE7A, TPT1, PFKP, EIF3B",8.07E-09
UP_KEYWORDS,Ubl conjugation,"IRS1, NAB1, ZMYND8, STMN2, KEAP1, HNRNPU, ENO1, ACTB, SOX2, YY1, CDC20, PSMD7, SALL1, AKT3, CREB3L2, NUSAP1, KMT5A, FBXO5, CCNL1, KPNA1, MYLIP, KRT8, KRT5, VASH1, CDC25A, HCFC1, ILF3, DKC1, FSCN1, TXNIP, NPTXR, FKBP4, ATF4, CSF1R, DDX5, VCP, CDCA3, CUL5, CTBP1, CDCA8, PIK3R1, NACC1, UBC, CLSPN, SLC38A2, STAT5A, PLK4, FZD3, EGR2, SMAD4, HSPA5, TNK2, ESRRG, NR1D1, HNRNPM, TPX2, KIF18A, UBE2S, NF2, AMOTL1, FBXL5, MAP3K14, RNF103-CHMP3, EZH2, ITGB1, ITK, NUMA1, CHD4, YBX1, TRIOBP, LMNB2, LMNB1, ZNF280D, UFL1, CHAF1A, BCL7A, DNMT3B, TOPBP1, TRIM62, GPR37, ANXA5, TFEB, MSL2, AHSA1, FOXL2, FOS, DDB2, CREB1, TRAF4, IRF1, CRY2, CRY1, MYH9, IRF8, KIF2C, MAPT, ATP6V0C, CHMP5, SMARCD2, NUFIP2, RPL10, DLL1, ARNTL, NFIL3, U2AF2, RBBP8, RPL13, HNRNPA1, HNRNPA0, SMARCE1, SLC12A3, NOP58, MBD1, LIMK1, MAPK14, KLF3, KLF2, KLF8, CENPE, PER1, KRT18, KRT17, TRIM39, CENPI, TCEA1",8.07E-09
GOTERM_CC_DIRECT,GO:0005829~cytosol,"PI4K2B, TESK1, KEAP1, PPP2R2A, IFI35, ENO1, ACTB, MYLK, GLS, SMC2, SOX2, CDC20, PSMD7, DPYSL2, ANPEP, FTH1, ARFIP2, FBXO5, FBXO7, CSNK2A2, KNL1, KRT5, ATG12, DAAM1, MAP1B, PLBD1, TXNIP, HPD, MMADHC, SKAP2, SLBP, CDCA3, SAR1B, STXBP2, HSPA4L, PIK3R3, CDCA8, PIK3R1, IQGAP3, OAZ1, GABARAP, SKA1, MTMR7, HMOX1, OTOF, ASL, SNX8, CEP78, STAT5A, PLK4, RAB3IP, UPF3B, PRDX6, FERMT1, MSRA, TPX2, AGO1, PPT1, CALR, ITK, ACY3, GDI1, GDI2, KIF15, ACTR1B, IMPA1, NUF2, RAC3, TK1, JAK2, GSTO1, FOS, RENBP, VAMP8, ITPKC, EXOC3, KIF2C, MAPT, MAPRE1, VAMP2, DTYMK, RPL10, MIS12, PELI2, PAPSS1, RPL13, EXOSC1, CENPT, RANBP3, HSPA1L, SORT1, SRP68, UBE2G2, TUBB4B, RAB11A, TARBP2, CENPE, CENPF, PSMC5, CENPI, KRT14, NCAPD2, PKN2, FAU, KBTBD7, PLCD1, MSRB1, MIDN, IRS1, APEH, PPP1CB, SESN1, CAPN2, TOM1, KNTC1, NEK2, KPNA2, GYG1, KPNA1, BNIP3L, MAP2K4, MYLIP, HGD, RUNDC3A, CDC25A, DCTD, CACNB4, SHQ1, CMPK1, FSCN1, FKBP4, ISCU, VCP, CUL5, HTRA1, ILDR1, MRI1, HMMR, CPLX1, CORO1B, SAV1, DPP7, UBC, UAP1L1, PGK1, TBC1D17, BCL2L14, SMAD4, OSBPL6, ODF2, ALYREF, GGH, GGCT, KIF18A, KIF4A, CDK2, GNB3, TUBGCP4, AMOTL1, NFKBIE, SAE1, MAP3K14, RNF103-CHMP3, EIF4G2, EIF4G1, GSK3B, NUMA1, TAT, RPS4X, SEC61A1, UFL1, UBE2Q1, PPP6R3, CASP1, YWHAG, EIF5A, PLA2G4F, TRIM62, DTX3L, ARHGEF16, APOA1, AHSA1, ARFGAP3, GPCPD1, ESPL1, LCK, IRF1, HKDC1, AKT1S1, MYH9, BLVRB, IRF8, FBP1, ALDH9A1, CHMP5, VPS4B, RAP1GDS1, ASAP1, DNAJB1, NFS1, MAPK8, MAT2A, TNNI1, VPS54, TNNI2, FYN, EIF4E, CYTH1, SLC12A3, LIMK1, MAPK14, ACTC1, TRIM39, CTH, DNAJA2, CDO1, PDE7A, PFKP, EIF3B",4.87E-08
GOTERM_CC_DIRECT,GO:0070062~extracellular exosome,"FCGBP, PRSS1, PROS1, SYAP1, SPPL2A, ENO1, APEH, PVR, ANTXR1, ACTB, MYLK, SMC2, PPP1CB, PSMD7, DPYSL2, ANPEP, CFL2, FTH1, CAPN2, TOM1, PTGDS, GYG1, SH3GLB1, GEN1, HGD, ARRDC1, KRT8, SLC6A13, ATP1B3, KRT5, KNL1, OLFM4, SDHB, DCTD, PLA2G15, ALDH3A2, SLC9A3, TWSG1, CLDN3, CMPK1, MXRA8, FSCN1, DPEP1, KDELR2, RHCG, FKBP4, HPD, PVALB, PFN2, FKBP5, DDX5, VCP, STXBP2, HTRA1, LPL, LIN7A, ACAT2, RTN4, CORO1B, GNG10, DPP7, SYNGR2, UBC, PGK1, PLXNA1, APOD, ASL, TSPAN3, TBC1D15, S100A11, CD276, CYP2J2, CTSA, HSPA5, ALYREF, FUCA1, FUCA2, GGH, PRDX6, GGCT, HNRNPM, MSRA, B4GAT1, TRPV6, NACA, FAT1, PPT1, GNB3, MAN2B1, SERINC1, CALR, RNF103-CHMP3, ITM2B, LGMN, ITM2C, ITGB1, LGALS3BP, HBS1L, PIGR, ACY3, SLC44A4, NUMA1, ITGB5, SLC44A2, GDI2, CTSZ, ETFA, YBX1, SYNE2, RPS4X, ACTR1B, IMPA1, CTSL, SCRN2, CA4, TIMP2, RAC3, YWHAG, RAB8B, CTSB, EIF5A, CD53, LYPLA2, SERPINB1, MYOC, GSTO1, ANXA5, APOA1, AHSA1, EDF1, TMC6, RENBP, PTP4A1, TGFBR3, VAMP8, LCK, MYH9, VWA1, BLVRB, VWA2, SLC25A5, ATP6V0C, VAMP5, FBP1, SMPDL3A, VAMP2, CHMP5, ARF6, ALDH9A1, NAPB, CSTB, ASAH1, PPM1L, VPS4B, RAP1GDS1, FGL2, ATP1A1, THBS4, DNAJB1, GNA14, FAM168B, EXTL2, SPP2, SNCG, STOM, HNRNPA1, EIF4E, OPCML, SLC12A3, NAGA, CTNS, TUBB4B, MAPK14, PLXDC2, SOD3, RAB11A, GALC, PSMC5, KRT18, ACTC1, KRT17, XPNPEP1, CTH, KRT14, DNAJA2, TPT1, PFKP, FRK, PLCD1, EIF3B",1.21E-07
UP_SEQ_FEATURE,mutagenesis site,"PRSS1, CCNT2, CCNT1, IRS1, PROS1, SPPL2A, FBXO25, KEAP1, SLA, ENO1, PVR, ALKBH3, CDC20, ALKBH2, DPYSL2, ANPEP, AKT3, DHX58, NEK2, KMT5A, FBXO5, LZTS2, SH3GLB1, MYLIP, UBE2E3, KRT8, VASH1, LEMD3, OLFM4, PASK, CDC25A, HCFC1, STIM1, DAAM1, FSCN1, DPEP1, SIK2, RHCG, PVALB, SNRPA, ASF1A, ABCG2, PMEL, SLBP, VCP, KHDRBS3, HS3ST3A1, FECH, CTBP1, HTRA1, CDCA8, LPL, CORO1B, HCAR2, UBC, UBR5, TP53BP2, ASL, CLSPN, CTSA, HEXIM1, IVNS1ABP, PLK4, EGR2, SMAD4, TNK2, ABCA4, SMARCA5, UPF3B, GGH, ESRRG, PRDX6, SMARCA4, GGCT, CDK8, TRPV6, UBE2S, ITGA11, CDK2, NABP2, NF2, FBXL5, NFKBIE, MAP3K14, LGMN, EZH2, EIF4G1, ITM2C, ITGB1, GSK3B, YBX1, LITAF, GPRC6A, IMPA1, NMRK2, CA4, CASP1, WDR5, CEP55, EIF5A, MYOC, NCOA5, EDF1, FOXL2, FOS, ARID1A, DDB2, PTP4A1, ESPL1, LCK, IRF1, IVD, AKT1S1, MAPT, MAPRE1, FBP1, ARF6, VPS4B, TTK, PPM1K, PAPSS1, ARNTL, MAPK8, NFIL3, U2AF2, RBBP8, STOM, HNRNPA1, MAP4K5, EIF4E, E2F8, SORT1, MBD1, LIMK1, NAGA, MAPK14, RAB11A, DEF6, KLF8, SNRK, KRT18, KRT17, XPNPEP1, NCAPD2, CDO1, FRK",8.48E-06
UP_KEYWORDS,Cell division,"CCNT2, CDCA3, CCNT1, NUMA1, CDCA7L, VPS4B, MIS12, CCDC124, CDCA8, KLHL13, TRIOBP, SKA1, CKS1B, SMC2, CDC20, PPP1CB, NUF2, NUSAP1, RBBP8, RCC1, KNTC1, NEK2, FBXO5, KMT5A, LZTS2, CEP55, CENPT, LMLN, KNL1, MASTL, CDC25A, CENPE, TPX2, CENPF, UBE2S, CDK2, PKN2, KIF2C, NCAPD2, MAPRE1, RNF103-CHMP3, ARF6",1.91E-06
UP_KEYWORDS,Cell cycle,"CCNT2, CCNT1, NUMA1, CDCA7L, CCDC124, CHTF18, TRIOBP, CKS1B, SMC2, CDC20, PPP1CB, RASSF1, CHAF1A, NUF2, NUSAP1, RCC1, KNTC1, NEK2, FBXO5, KMT5A, LZTS2, CEP55, CSNK2A2, VASH1, KNL1, MASTL, CDC25A, HCFC1, PTP4A1, TXNIP, KIF2C, MAPRE1, ARF6, CDCA3, VPS4B, MIS12, CDCA8, KLHL13, SKA1, CDC45, RBBP8, TP53BP2, E2F4, CLSPN, E2F8, CENPT, LMLN, RAB11A, CENPE, TPX2, CENPF, KRT18, UBE2S, CDK2, NCAPD2, PKN2, RNF103-CHMP3",6.55E-06
